Award,Holiday_Wheel,New_Year_Wheel,February_Wheel,March_Wheel,March_Renew_Wheel,March_April,Easter_Wheel,May_Wheel,Late_May_Wheel,June_Wheel,Revamped_June_Wheel,Summer_Wheel,Summer_Wheel_2
Spinbomb,0.01,0.01,0.04,,,,,,,,,,
2 spins,,,0.1679,0.067899,0.067899,0.067899,0.067899,0.067899,0.067899,0.067899,0.06789,0.0778999,7.78999%
0%,,,0.05,,,,,,,,,,
Dep,0.175,0.175,,,,0.07,0.07,0.07,0.07,0.07,0.07,,
Lg_purch,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,
Purch,0.175,0.175,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,12.465%
Bal,,,,0.07,0.07,,,,,,,,
Card,,,,,,,,,,,,0.10,10%
100 sats,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0805,,
1000 sats,,0.07,,,,,,,,,,,
10000 sats,,,,,,,,,,,,0.01,0.1%
100000 sats,,,,,,,,,,,,,0.01%
0.25%,0.1699,0.1699,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.118,
0.5%,,,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.125,0.1425,16%
0.75%,,,0.05,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.15,15%
1%,0.175,0.175,0.125,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,14%
1.5%,0.175,0.175,0.175,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.16,0.14,14%
2%,,,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.09,9%
3%,,,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.0175,1.5%
4%,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.015,0.0125,0.1%
5%,,,0.01,,,,,,0.001,0.001,0.001,0.001,0.01%
10%,,,,,,,,,,,,,
$1.00,,,0.075,,,,,,,,,,
1 BTC,,,,,,,,,0.000001,0.000001,0.00001,0.0000001,0.00001%
$50.00,,,,,,,,,0.0005,0.0005,0.0005,0.0005,0.02%
$5.00,,,,,,,,,0.0005,0.0005,,,
100%,,,,,,,,,0.0001,0.0001,0.0001,0.0001,0.005%
Total,0.9299,0.9999,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,1,1,1,1,100%
